Item,Category,Calories,Total Fat,Saturated Fat,Trans Fat,Cholesterol,Sodium,Carbohydrates,Dietary Fiber,Sugars,Protein,Restaurant,States
Premium Southwest Salad with Grilled Chicken,Salads,290.0,8.0,2.5,0.0,70.0,680.0,28.0,7.0,10.0,27.0,McDonald's,Unknown
Chipotle BBQ Snack Wrap (Crispy Chicken),Snacks & Sides,340.0,15.0,4.5,0.0,30.0,780.0,37.0,1.0,8.0,14.0,McDonald's,Unknown
Chipotle BBQ Snack Wrap (Grilled Chicken),Snacks & Sides,260.0,8.0,3.5,0.0,40.0,700.0,30.0,1.0,7.0,16.0,McDonald's,Unknown
Honey Mustard Snack Wrap (Crispy Chicken),Snacks & Sides,330.0,15.0,4.5,0.0,35.0,730.0,34.0,1.0,3.0,14.0,McDonald's,Unknown
Honey Mustard Snack Wrap (Grilled Chicken),Snacks & Sides,250.0,8.0,3.5,0.0,45.0,650.0,27.0,1.0,2.0,16.0,McDonald's,Unknown
Ranch Snack Wrap (Crispy Chicken),Snacks & Sides,360.0,20.0,5.0,0.0,40.0,810.0,32.0,1.0,3.0,15.0,McDonald's,Unknown
Ranch Snack Wrap (Grilled Chicken),Snacks & Sides,280.0,13.0,4.5,0.0,45.0,720.0,25.0,1.0,2.0,16.0,McDonald's,Unknown
Small French Fries,Snacks & Sides,230.0,11.0,1.5,0.0,0.0,130.0,30.0,2.0,0.0,2.0,McDonald's,California
Medium French Fries,Snacks & Sides,340.0,16.0,2.5,0.0,0.0,190.0,44.0,4.0,0.0,4.0,McDonald's,California
Large French Fries,Snacks & Sides,510.0,24.0,3.5,0.0,0.0,290.0,67.0,5.0,0.0,6.0,McDonald's,California
Kids French Fries,Snacks & Sides,110.0,5.0,1.0,0.0,0.0,65.0,15.0,1.0,0.0,1.0,McDonald's,California
Side Salad,Snacks & Sides,20.0,0.0,0.0,0.0,0.0,10.0,4.0,1.0,2.0,1.0,McDonald's,Unknown
Apple Slices,Snacks & Sides,15.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,McDonald's,Unknown
Fruit 'n Yogurt Parfait,Snacks & Sides,150.0,2.0,1.0,0.0,5.0,70.0,30.0,1.0,23.0,4.0,McDonald's,Unknown
Baked Apple Pie,Desserts,250.0,13.0,7.0,0.0,0.0,170.0,32.0,4.0,13.0,2.0,McDonald's,Florida
Chocolate Chip Cookie,Desserts,160.0,8.0,3.5,0.0,10.0,90.0,21.0,1.0,15.0,2.0,McDonald's,Unknown
Oatmeal Raisin Cookie,Desserts,150.0,6.0,2.5,0.0,10.0,135.0,22.0,1.0,13.0,2.0,McDonald's,Unknown
Kids Ice Cream Cone,Desserts,45.0,1.5,1.0,0.0,5.0,20.0,7.0,0.0,6.0,1.0,McDonald's,Unknown
Hot Fudge Sundae,Desserts,330.0,9.0,7.0,0.0,25.0,170.0,53.0,1.0,48.0,8.0,McDonald's,Unknown
Hot Caramel Sundae,Desserts,340.0,8.0,5.0,0.0,30.0,150.0,60.0,0.0,43.0,7.0,McDonald's,Unknown
Strawberry Sundae,Desserts,280.0,6.0,4.0,0.0,25.0,85.0,49.0,0.0,45.0,6.0,McDonald's,Unknown
Coca-Cola Classic (Small),Beverages,140.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,39.0,0.0,McDonald's,Unknown
Coca-Cola Classic (Medium),Beverages,200.0,0.0,0.0,0.0,0.0,5.0,55.0,0.0,55.0,0.0,McDonald's,Unknown
Coca-Cola Classic (Large),Beverages,280.0,0.0,0.0,0.0,0.0,5.0,76.0,0.0,76.0,0.0,McDonald's,Unknown
Coca-Cola Classic (Child),Beverages,100.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,28.0,0.0,McDonald's,Unknown
Diet Coke (Small),Beverages,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,McDonald's,Unknown
Diet Coke (Medium),Beverages,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,McDonald's,Unknown
Diet Coke (Large),Beverages,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,McDonald's,Unknown
Diet Coke (Child),Beverages,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,McDonald's,Unknown
Dr Pepper (Small),Beverages,140.0,0.0,0.0,0.0,0.0,45.0,37.0,0.0,35.0,0.0,McDonald's,Unknown
Dr Pepper (Medium),Beverages,190.0,0.0,0.0,0.0,0.0,65.0,53.0,0.0,51.0,0.0,McDonald's,Unknown
Dr Pepper (Large),Beverages,270.0,0.0,0.0,0.0,0.0,90.0,72.0,0.0,70.0,0.0,McDonald's,Unknown
Dr Pepper (Child),Beverages,100.0,0.0,0.0,0.0,0.0,30.0,27.0,0.0,26.0,0.0,McDonald's,Unknown
Diet Dr Pepper (Small),Beverages,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,2.0,McDonald's,Unknown
Diet Dr Pepper (Medium),Beverages,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,3.0,McDonald's,Unknown
Diet Dr Pepper (Large),Beverages,0.0,0.0,0.0,0.0,0.0,140.0,0.0,0.0,0.0,4.0,McDonald's,Unknown
Diet Dr Pepper (Child),Beverages,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,1.0,McDonald's,Unknown
Sprite (Small),Beverages,140.0,0.0,0.0,0.0,0.0,30.0,37.0,0.0,37.0,0.0,McDonald's,Unknown
Sprite (Medium),Beverages,200.0,0.0,0.0,0.0,0.0,45.0,54.0,0.0,54.0,0.0,McDonald's,Unknown
Sprite (Large),Beverages,280.0,0.0,0.0,0.0,0.0,60.0,74.0,0.0,74.0,0.0,McDonald's,Unknown
Sprite (Child),Beverages,100.0,0.0,0.0,0.0,0.0,25.0,27.0,0.0,27.0,0.0,McDonald's,Unknown
1% Low Fat Milk Jug,Beverages,100.0,2.5,1.5,0.0,10.0,125.0,12.0,0.0,12.0,8.0,McDonald's,Unknown
Fat Free Chocolate Milk Jug,Beverages,130.0,0.0,0.0,0.0,5.0,135.0,23.0,1.0,22.0,9.0,McDonald's,Unknown
Minute Maid 100% Apple Juice Box,Beverages,80.0,0.0,0.0,0.0,0.0,15.0,21.0,0.0,19.0,0.0,McDonald's,Unknown
Minute Maid Orange Juice (Small),Beverages,150.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,30.0,2.0,McDonald's,Unknown
Minute Maid Orange Juice (Medium),Beverages,190.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,39.0,3.0,McDonald's,Unknown
Minute Maid Orange Juice (Large),Beverages,280.0,0.0,0.0,0.0,0.0,5.0,65.0,0.0,58.0,4.0,McDonald's,Unknown
Dasani Water Bottle,Beverages,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,McDonald's,Unknown
Iced Tea (Small),Coffee & Tea,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,McDonald's,Unknown
Iced Tea (Medium),Coffee & Tea,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,McDonald's,Unknown
Iced Tea (Large),Coffee & Tea,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,McDonald's,Unknown
Iced Tea (Child),Coffee & Tea,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,McDonald's,Unknown
Sweet Tea (Small),Coffee & Tea,150.0,0.0,0.0,0.0,0.0,10.0,36.0,0.0,36.0,1.0,McDonald's,Unknown
Sweet Tea (Medium),Coffee & Tea,180.0,0.0,0.0,0.0,0.0,10.0,45.0,0.0,45.0,1.0,McDonald's,Unknown
Sweet Tea (Large),Coffee & Tea,220.0,0.0,0.0,0.0,0.0,10.0,54.0,0.0,54.0,1.0,McDonald's,Unknown
Sweet Tea (Child),Coffee & Tea,110.0,0.0,0.0,0.0,0.0,5.0,27.0,0.0,27.0,0.0,McDonald's,Unknown
Coffee (Small),Coffee & Tea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,McDonald's,Unknown
Coffee (Medium),Coffee & Tea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,McDonald's,Unknown
Coffee (Large),Coffee & Tea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,McDonald's,Unknown
Latte (Small),Coffee & Tea,170.0,9.0,5.0,0.0,25.0,115.0,15.0,1.0,12.0,9.0,McDonald's,Unknown
Latte (Medium),Coffee & Tea,210.0,10.0,6.0,0.0,30.0,140.0,18.0,1.0,15.0,11.0,McDonald's,Unknown
Latte (Large),Coffee & Tea,280.0,14.0,8.0,0.0,40.0,180.0,24.0,1.0,20.0,15.0,McDonald's,Unknown
Caramel Latte (Small),Coffee & Tea,270.0,9.0,5.0,0.0,25.0,115.0,40.0,1.0,38.0,9.0,McDonald's,Unknown
Caramel Latte (Medium),Coffee & Tea,340.0,10.0,6.0,0.0,30.0,140.0,50.0,1.0,48.0,11.0,McDonald's,Unknown
Caramel Latte (Large),Coffee & Tea,430.0,14.0,8.0,0.0,40.0,180.0,62.0,1.0,59.0,15.0,McDonald's,Unknown
Hazelnut Latte (Small),Coffee & Tea,270.0,9.0,5.0,0.0,25.0,115.0,40.0,1.0,38.0,9.0,McDonald's,Unknown
Hazelnut Latte (Medium),Coffee & Tea,330.0,10.0,6.0,0.0,30.0,140.0,50.0,1.0,47.0,11.0,McDonald's,Unknown
Hazelnut Latte (Large),Coffee & Tea,430.0,14.0,8.0,0.0,40.0,180.0,62.0,1.0,58.0,15.0,McDonald's,Unknown
French Vanilla Latte (Small),Coffee & Tea,260.0,9.0,5.0,0.0,25.0,115.0,38.0,1.0,36.0,9.0,McDonald's,Unknown
French Vanilla Latte (Medium),Coffee & Tea,330.0,10.0,6.0,0.0,30.0,140.0,48.0,1.0,45.0,11.0,McDonald's,Unknown
French Vanilla Latte (Large),Coffee & Tea,420.0,14.0,8.0,0.0,40.0,190.0,60.0,1.0,56.0,15.0,McDonald's,Unknown
Latte with Sugar Free French Vanilla Syrup (Small),Coffee & Tea,210.0,9.0,5.0,0.0,25.0,150.0,24.0,1.0,12.0,9.0,McDonald's,Unknown
Latte with Sugar Free French Vanilla Syrup (Medium),Coffee & Tea,260.0,10.0,6.0,0.0,30.0,190.0,29.0,1.0,15.0,12.0,McDonald's,Unknown
Latte with Sugar Free French Vanilla Syrup (Large),Coffee & Tea,330.0,14.0,8.0,0.0,40.0,240.0,37.0,2.0,20.0,15.0,McDonald's,Unknown
Nonfat Latte (Small),Coffee & Tea,100.0,0.0,0.0,0.0,5.0,110.0,15.0,1.0,13.0,10.0,McDonald's,Unknown
Nonfat Latte (Medium),Coffee & Tea,130.0,0.0,0.0,0.0,5.0,135.0,19.0,1.0,16.0,12.0,McDonald's,Unknown
Nonfat Latte (Large),Coffee & Tea,170.0,0.5,0.0,0.0,10.0,180.0,25.0,1.0,21.0,16.0,McDonald's,Unknown
Nonfat Caramel Latte (Small),Coffee & Tea,200.0,0.0,0.0,0.0,5.0,110.0,41.0,1.0,39.0,10.0,McDonald's,Unknown
Nonfat Caramel Latte (Medium),Coffee & Tea,250.0,0.0,0.0,0.0,5.0,135.0,51.0,1.0,48.0,12.0,McDonald's,Unknown
Nonfat Caramel Latte (Large),Coffee & Tea,310.0,0.5,0.0,0.0,10.0,180.0,63.0,1.0,59.0,16.0,McDonald's,Unknown
Nonfat Hazelnut Latte (Small),Coffee & Tea,200.0,0.0,0.0,0.0,5.0,110.0,40.0,1.0,38.0,10.0,McDonald's,Unknown
Nonfat Hazelnut Latte (Medium),Coffee & Tea,250.0,0.0,0.0,0.0,5.0,135.0,51.0,1.0,48.0,12.0,McDonald's,Unknown
Nonfat Hazelnut Latte (Large),Coffee & Tea,310.0,0.5,0.0,0.0,10.0,180.0,63.0,1.0,59.0,16.0,McDonald's,Unknown
Nonfat French Vanilla Latte (Small),Coffee & Tea,190.0,0.0,0.0,0.0,5.0,115.0,39.0,1.0,37.0,10.0,McDonald's,Unknown
Nonfat French Vanilla Latte (Medium),Coffee & Tea,240.0,0.0,0.0,0.0,5.0,140.0,49.0,1.0,46.0,12.0,McDonald's,Unknown
Nonfat French Vanilla Latte (Large),Coffee & Tea,300.0,0.5,0.0,0.0,10.0,180.0,60.0,1.0,56.0,16.0,McDonald's,Unknown
Nonfat Latte with Sugar Free French Vanilla Syrup (Small),Coffee & Tea,140.0,0.0,0.0,0.0,5.0,150.0,24.0,1.0,13.0,10.0,McDonald's,Unknown
Nonfat Latte with Sugar Free French Vanilla Syrup (Medium),Coffee & Tea,170.0,0.0,0.0,0.0,5.0,180.0,30.0,1.0,16.0,12.0,McDonald's,Unknown
Nonfat Latte with Sugar Free French Vanilla Syrup (Large),Coffee & Tea,220.0,0.5,0.0,0.0,10.0,240.0,38.0,2.0,21.0,16.0,McDonald's,Unknown
Mocha (Small),Coffee & Tea,340.0,11.0,7.0,0.0,35.0,150.0,49.0,2.0,42.0,10.0,McDonald's,Unknown
Mocha (Medium),Coffee & Tea,410.0,14.0,8.0,0.0,40.0,190.0,60.0,2.0,53.0,13.0,McDonald's,Unknown
Mocha (Large),Coffee & Tea,500.0,17.0,10.0,0.5,50.0,240.0,72.0,2.0,63.0,16.0,McDonald's,Unknown
Mocha with Nonfat Milk (Small),Coffee & Tea,270.0,3.5,2.0,0.0,15.0,150.0,49.0,2.0,43.0,11.0,McDonald's,Unknown
Mocha with Nonfat Milk (Medium),Coffee & Tea,330.0,3.5,2.0,0.0,15.0,190.0,60.0,2.0,53.0,13.0,McDonald's,Unknown
Mocha with Nonfat Milk (Large),Coffee & Tea,390.0,4.0,2.5,0.0,20.0,240.0,73.0,2.0,64.0,17.0,McDonald's,Unknown
Caramel Mocha (Small),Coffee & Tea,320.0,11.0,7.0,0.0,35.0,170.0,45.0,1.0,40.0,10.0,McDonald's,Unknown
Caramel Mocha (Medium),Coffee & Tea,390.0,14.0,8.0,0.5,40.0,220.0,55.0,1.0,50.0,12.0,McDonald's,Unknown
Caramel Mocha (Large),Coffee & Tea,480.0,17.0,10.0,0.5,50.0,270.0,66.0,1.0,60.0,16.0,McDonald's,Unknown
Nonfat Caramel Mocha (Small),Coffee & Tea,250.0,3.5,2.0,0.0,15.0,170.0,45.0,1.0,41.0,10.0,McDonald's,Unknown
Nonfat Caramel Mocha (Medium),Coffee & Tea,310.0,3.5,2.0,0.0,15.0,210.0,56.0,1.0,51.0,13.0,McDonald's,Unknown
Nonfat Caramel Mocha (Large),Coffee & Tea,370.0,3.5,2.5,0.0,20.0,270.0,67.0,1.0,61.0,17.0,McDonald's,Unknown
Hot Chocolate (Small),Coffee & Tea,360.0,13.0,8.0,0.0,40.0,180.0,50.0,1.0,45.0,11.0,McDonald's,Unknown
Hot Chocolate (Medium),Coffee & Tea,440.0,16.0,9.0,0.5,50.0,220.0,61.0,1.0,56.0,14.0,McDonald's,Unknown
Hot Chocolate (Large),Coffee & Tea,540.0,20.0,12.0,0.5,60.0,280.0,73.0,1.0,68.0,17.0,McDonald's,Unknown
Hot Chocolate with Nonfat Milk (Small),Coffee & Tea,280.0,3.5,2.0,0.0,15.0,180.0,50.0,1.0,46.0,12.0,McDonald's,Unknown
Hot Chocolate with Nonfat Milk (Medium),Coffee & Tea,340.0,3.5,2.0,0.0,15.0,220.0,61.0,1.0,57.0,14.0,McDonald's,Unknown
Hot Chocolate with Nonfat Milk (Large),Coffee & Tea,400.0,3.5,2.5,0.0,20.0,280.0,74.0,1.0,69.0,19.0,McDonald's,Unknown
Regular Iced Coffee (Small),Coffee & Tea,140.0,4.5,3.0,0.0,15.0,35.0,23.0,0.0,22.0,1.0,McDonald's,Unknown
Regular Iced Coffee (Medium),Coffee & Tea,190.0,7.0,4.5,0.0,25.0,50.0,31.0,0.0,30.0,1.0,McDonald's,Unknown
Regular Iced Coffee (Large),Coffee & Tea,270.0,9.0,6.0,0.0,35.0,75.0,47.0,0.0,45.0,2.0,McDonald's,Unknown
Caramel Iced Coffee (Small),Coffee & Tea,130.0,4.5,3.0,0.0,15.0,35.0,22.0,0.0,21.0,1.0,McDonald's,Unknown
Caramel Iced Coffee (Medium),Coffee & Tea,180.0,7.0,4.5,0.0,25.0,50.0,29.0,0.0,28.0,1.0,McDonald's,Unknown
Caramel Iced Coffee (Large),Coffee & Tea,260.0,9.0,6.0,0.0,35.0,65.0,43.0,0.0,42.0,2.0,McDonald's,Unknown
Hazelnut Iced Coffee (Small),Coffee & Tea,130.0,4.5,3.0,0.0,15.0,35.0,21.0,0.0,20.0,1.0,McDonald's,Unknown
Hazelnut Iced Coffee (Medium),Coffee & Tea,180.0,7.0,4.5,0.0,25.0,50.0,29.0,0.0,28.0,1.0,McDonald's,Unknown
Hazelnut Iced Coffee (Large),Coffee & Tea,250.0,9.0,6.0,0.0,35.0,75.0,43.0,0.0,41.0,2.0,McDonald's,Unknown
French Vanilla Iced Coffee (Small),Coffee & Tea,120.0,4.5,3.0,0.0,15.0,40.0,20.0,0.0,19.0,1.0,McDonald's,Unknown
French Vanilla Iced Coffee (Medium),Coffee & Tea,170.0,7.0,4.5,0.0,25.0,55.0,27.0,0.0,26.0,1.0,McDonald's,Unknown
French Vanilla Iced Coffee (Large),Coffee & Tea,240.0,9.0,6.0,0.0,35.0,80.0,41.0,0.0,39.0,2.0,McDonald's,Unknown
Iced Coffee with Sugar Free French Vanilla Syrup (Small),Coffee & Tea,80.0,4.5,3.0,0.0,15.0,65.0,9.0,0.0,1.0,1.0,McDonald's,Unknown
Iced Coffee with Sugar Free French Vanilla Syrup (Medium),Coffee & Tea,120.0,7.0,4.5,0.0,25.0,90.0,12.0,0.0,2.0,1.0,McDonald's,Unknown
Iced Coffee with Sugar Free French Vanilla Syrup (Large),Coffee & Tea,160.0,9.0,6.0,0.0,35.0,135.0,18.0,0.0,2.0,2.0,McDonald's,Unknown
Iced Mocha (Small),Coffee & Tea,290.0,11.0,7.0,0.0,35.0,125.0,41.0,1.0,34.0,8.0,McDonald's,Unknown
Iced Mocha (Medium),Coffee & Tea,350.0,13.0,8.0,0.0,40.0,150.0,50.0,1.0,43.0,9.0,McDonald's,Unknown
Iced Mocha (Large),Coffee & Tea,480.0,16.0,10.0,0.5,50.0,220.0,70.0,2.0,62.0,14.0,McDonald's,Unknown
Iced Mocha with Nonfat Milk (Small),Coffee & Tea,240.0,5.0,3.0,0.0,20.0,125.0,41.0,1.0,35.0,8.0,McDonald's,Unknown
Iced Mocha with Nonfat Milk (Medium),Coffee & Tea,290.0,5.0,3.5,0.0,20.0,150.0,50.0,1.0,43.0,10.0,McDonald's,Unknown
Iced Mocha with Nonfat Milk (Large),Coffee & Tea,390.0,6.0,3.5,0.0,25.0,220.0,71.0,2.0,62.0,14.0,McDonald's,Unknown
Iced Caramel Mocha (Small),Coffee & Tea,280.0,11.0,7.0,0.0,35.0,140.0,38.0,0.0,33.0,8.0,McDonald's,Unknown
Iced Caramel Mocha (Medium),Coffee & Tea,340.0,13.0,7.0,0.0,40.0,170.0,46.0,1.0,41.0,9.0,McDonald's,Unknown
Iced Caramel Mocha (Large),Coffee & Tea,460.0,16.0,10.0,0.5,50.0,250.0,65.0,1.0,59.0,13.0,McDonald's,Unknown
Iced Nonfat Caramel Mocha (Small),Coffee & Tea,230.0,5.0,3.0,0.0,20.0,140.0,38.0,0.0,33.0,8.0,McDonald's,Unknown
Iced Nonfat Caramel Mocha (Medium),Coffee & Tea,270.0,5.0,3.0,0.0,20.0,170.0,47.0,1.0,41.0,10.0,McDonald's,Unknown
Iced Nonfat Caramel Mocha (Large),Coffee & Tea,370.0,6.0,3.5,0.0,25.0,250.0,65.0,1.0,59.0,14.0,McDonald's,Unknown
Frappé Mocha (Small),Coffee & Tea,450.0,18.0,12.0,1.0,65.0,125.0,65.0,1.0,57.0,7.0,McDonald's,Unknown
Frappé Mocha (Medium),Coffee & Tea,550.0,22.0,14.0,1.0,75.0,160.0,80.0,1.0,71.0,9.0,McDonald's,Unknown
Frappé Mocha (Large),Coffee & Tea,670.0,26.0,17.0,1.0,90.0,190.0,98.0,1.0,88.0,11.0,McDonald's,Unknown
Frappé Caramel (Small),Coffee & Tea,450.0,19.0,12.0,1.0,65.0,125.0,64.0,0.0,57.0,7.0,McDonald's,Unknown
Frappé Caramel (Medium),Coffee & Tea,550.0,23.0,15.0,1.0,80.0,160.0,79.0,0.0,71.0,9.0,McDonald's,Unknown
Frappé Caramel (Large),Coffee & Tea,670.0,27.0,17.0,1.5,95.0,190.0,96.0,0.0,88.0,11.0,McDonald's,Unknown
Frappé Chocolate Chip (Small),Coffee & Tea,530.0,23.0,14.0,1.0,65.0,135.0,76.0,1.0,67.0,8.0,McDonald's,Unknown
Frappé Chocolate Chip (Medium),Coffee & Tea,630.0,26.0,17.0,1.0,80.0,160.0,91.0,1.0,81.0,9.0,McDonald's,Unknown
Frappé Chocolate Chip (Large),Coffee & Tea,760.0,31.0,20.0,1.5,95.0,200.0,111.0,1.0,99.0,12.0,McDonald's,Unknown
Blueberry Pomegranate Smoothie (Small),Smoothies & Shakes,220.0,0.5,0.0,0.0,5.0,40.0,50.0,3.0,44.0,2.0,McDonald's,Unknown
Blueberry Pomegranate Smoothie (Medium),Smoothies & Shakes,260.0,1.0,0.0,0.0,5.0,50.0,62.0,4.0,54.0,3.0,McDonald's,Unknown
Blueberry Pomegranate Smoothie (Large),Smoothies & Shakes,340.0,1.0,0.5,0.0,5.0,65.0,79.0,5.0,70.0,4.0,McDonald's,Unknown
Strawberry Banana Smoothie (Small),Smoothies & Shakes,210.0,0.5,0.0,0.0,5.0,50.0,47.0,3.0,44.0,3.0,McDonald's,Unknown
Strawberry Banana Smoothie (Medium),Smoothies & Shakes,250.0,1.0,0.0,0.0,5.0,60.0,58.0,3.0,54.0,4.0,McDonald's,Unknown
Strawberry Banana Smoothie (Large),Smoothies & Shakes,330.0,1.0,0.5,0.0,5.0,80.0,74.0,4.0,70.0,5.0,McDonald's,Unknown
Mango Pineapple Smoothie (Small),Smoothies & Shakes,210.0,0.5,0.0,0.0,5.0,40.0,50.0,1.0,46.0,2.0,McDonald's,Unknown
Mango Pineapple Smoothie (Medium),Smoothies & Shakes,260.0,1.0,0.0,0.0,5.0,45.0,61.0,1.0,56.0,3.0,McDonald's,Unknown
Mango Pineapple Smoothie (Large),Smoothies & Shakes,340.0,1.0,0.5,0.0,5.0,60.0,78.0,2.0,72.0,4.0,McDonald's,Unknown
Vanilla Shake (Small),Smoothies & Shakes,530.0,15.0,10.0,1.0,60.0,160.0,86.0,0.0,63.0,11.0,McDonald's,Unknown
Vanilla Shake (Medium),Smoothies & Shakes,660.0,19.0,12.0,1.0,75.0,200.0,109.0,0.0,81.0,14.0,McDonald's,Unknown
Vanilla Shake (Large),Smoothies & Shakes,820.0,23.0,15.0,1.0,90.0,260.0,135.0,0.0,101.0,18.0,McDonald's,Unknown
Strawberry Shake (Small),Smoothies & Shakes,550.0,16.0,10.0,1.0,60.0,160.0,90.0,0.0,79.0,12.0,McDonald's,Unknown
Strawberry Shake (Medium),Smoothies & Shakes,690.0,20.0,13.0,1.0,75.0,210.0,114.0,0.0,100.0,15.0,McDonald's,Unknown
Strawberry Shake (Large),Smoothies & Shakes,850.0,24.0,15.0,1.0,90.0,260.0,140.0,0.0,123.0,18.0,McDonald's,Unknown
Chocolate Shake (Small),Smoothies & Shakes,560.0,16.0,10.0,1.0,60.0,240.0,91.0,1.0,77.0,12.0,McDonald's,Unknown
Chocolate Shake (Medium),Smoothies & Shakes,700.0,20.0,12.0,1.0,75.0,300.0,114.0,2.0,97.0,15.0,McDonald's,Unknown
Chocolate Shake (Large),Smoothies & Shakes,850.0,23.0,15.0,1.0,85.0,380.0,141.0,2.0,120.0,19.0,McDonald's,Unknown
Shamrock Shake (Medium),Smoothies & Shakes,660.0,19.0,12.0,1.0,75.0,210.0,109.0,0.0,93.0,14.0,McDonald's,Unknown
Shamrock Shake (Large),Smoothies & Shakes,820.0,23.0,15.0,1.0,90.0,260.0,135.0,0.0,115.0,18.0,McDonald's,Unknown
McFlurry with M&M’s Candies (Small),Smoothies & Shakes,650.0,23.0,14.0,0.5,50.0,180.0,96.0,1.0,89.0,13.0,McDonald's,Georgia
McFlurry with M&M’s Candies (Medium),Smoothies & Shakes,930.0,33.0,20.0,1.0,75.0,260.0,139.0,2.0,128.0,20.0,McDonald's,Georgia
McFlurry with M&M’s Candies (Snack),Smoothies & Shakes,430.0,15.0,10.0,0.0,35.0,120.0,64.0,1.0,59.0,9.0,McDonald's,Georgia
McFlurry with Oreo Cookies (Small),Smoothies & Shakes,510.0,17.0,9.0,0.5,45.0,280.0,80.0,1.0,64.0,12.0,McDonald's,Georgia
McFlurry with Oreo Cookies (Medium),Smoothies & Shakes,690.0,23.0,12.0,1.0,55.0,380.0,106.0,1.0,85.0,15.0,McDonald's,Georgia
McFlurry with Oreo Cookies (Snack),Smoothies & Shakes,340.0,11.0,6.0,0.0,30.0,190.0,53.0,1.0,43.0,8.0,McDonald's,Georgia
McFlurry with Reese's Peanut Butter Cups (Medium),Smoothies & Shakes,810.0,32.0,15.0,1.0,60.0,400.0,114.0,2.0,103.0,21.0,McDonald's,Georgia
McFlurry with Reese's Peanut Butter Cups (Snack),Smoothies & Shakes,410.0,16.0,8.0,0.0,30.0,200.0,57.0,1.0,51.0,10.0,McDonald's,Georgia
